cpu,ram,storage,carbon_intensity,emissions
45.2,32.1,450.3,650,15.925875
12.5,8.4,120.7,400,3.3628
78.9,48.6,780.2,700,32.9545
23.4,16.2,250.8,300,4.8294
56.7,40.5,600.9,500,18.3795
34.8,24.7,380.5,450,10.35225
89.3,56.8,890.4,700,37.8315
15.6,10.2,180.3,200,2.1426
67.4,44.9,670.6,600,25.7334
41.2,28.3,420.7,550,14.52285
92.1,60.3,920.8,650,38.0907
28.7,18.9,290.4,350,6.5233
73.5,50.2,750.9,700,31.0815
19.8,12.6,210.5,250,3.28625
61.3,42.7,620.8,500,19.8195
38.5,26.4,390.6,400,10.0524
85.7,54.9,870.3,650,35.28195
22.1,14.8,240.7,300,4.5321
70.2,46.5,720.4,600,27.0324
47.9,34.2,480.5,550,16.39275
95.4,62.7,950.9,700,40.2063
31.6,20.5,320.8,400,8.2632
76.8,52.3,780.6,650,32.0019
25.3,16.7,270.9,350,6.03315
64.1,43.8,650.7,500,20.7285
43.7,30.1,440.8,450,12.87315
88.6,58.2,900.5,700,37.50735
17.4,11.5,190.6,200,2.2762
68.9,45.6,690.3,600,26.28018
39.2,27.8,410.9,550,13.93395
91.3,59.7,930.2,650,37.6011
27.5,19.3,300.5,350,6.28425
72.8,49.5,760.8,700,30.7926
20.6,13.4,220.7,250,3.4407
59.7,41.2,610.9,500,19.2645
36.9,25.6,370.3,400,9.5532
84.2,53.8,850.6,650,34.4967
21.3,15.2,230.8,300,4.4394
69.5,47.1,700.5,600,26.7633
46.1,33.5,470.8,550,15.88395
94.7,61.9,940.2,700,39.7497
30.8,21.2,310.9,400,8.0476
75.3,51.6,770.3,650,31.41195
24.5,17.1,260.7,350,5.82315
63.4,42.9,640.8,500,20.3535
42.9,29.4,430.9,450,12.58365
87.1,57.5,880.6,700,36.9261
16.8,10.9,170.4,200,2.1348
66.7,44.3,660.9,600,25.2699
40.5,28.7,400.8,550,14.19285
90.6,58.9,910.5,650,37.30395
26.9,18.6,280.7,350,6.09315
71.2,48.8,740.6,700,30.3282
18.2,12.1,200.8,250,3.1305
58.4,40.5,590.7,500,18.7395
35.7,24.9,360.5,400,9.2745
82.9,52.7,830.9,650,33.91215
20.1,14.5,220.9,300,4.2597
68.1,46.2,680.8,600,26.1996
44.8,32.8,460.9,550,15.60195
93.5,60.8,930.7,700,39.2301
29.4,20.8,300.9,400,7.8276
74.6,50.9,760.5,650,31.01835
23.7,16.4,250.9,350,5.64315
62.1,42.1,630.8,500,19.9245
41.6,29.7,420.9,450,12.69315
86.4,56.9,870.8,700,36.5448
15.2,10.6,160.7,200,2.0474
65.3,43.7,650.9,600,24.9699
38.9,27.1,390.7,550,13.65395
89.8,58.3,900.8,650,37.1907
25.8,17.9,270.9,350,5.88315
70.5,48.1,730.8,700,29.9626
17.9,11.8,190.9,250,3.0305
57.1,39.8,580.9,500,18.2745
34.3,24.2,350.7,400,9.0072
81.6,51.9,820.6,650,33.3219
19.4,13.8,210.8,300,4.0794
67.4,45.5,670.9,600,25.8699
43.5,31.9,450.8,550,15.31695
92.8,60.1,920.9,700,38.7045
28.1,19.9,290.8,400,7.5476
73.9,50.2,750.6,650,30.6219
22.9,15.7,240.8,350,5.37315
60.8,41.5,620.9,500,19.5495
40.2,28.4,410.8,450,12.4131
85.1,55.6,860.9,700,36.1635
14.7,9.9,150.8,200,1.9308
64.6,43.1,640.8,600,24.5844
37.6,26.4,380.9,550,13.37895
88.9,57.7,890.7,650,36.80715
24.2,17.2,260.8,350,5.6532
69.8,47.4,720.7,700,29.5971
16.5,11.2,180.9,250,2.8605
55.8,38.9,570.8,500,17.8895
33.1,23.5,340.9,400,8.7396
80.3,51.2,810.7,650,32.73195
18.7,13.1,200.9,300,3.8991
66.1,44.9,660.8,600,25.4844
42.2,30.6,440.9,550,14.99595
91.5,59.4,910.8,700,38.2389
27.3,19.2,280.9,400,7.2876
